day1	day2	day3	day4	date	stormy	mixed	price	qty	rainy	cold	windspd	windspd2	pricelevel	totr	tots
1	0	0	0	911202	1	0	-0.4307829	8.994421	1	0	2.995732	8.974412	0.65	7232	8058
0	1	0	0	911203	1	0	0	7.707063	0	0	2.995732	8.974412	1	2110	2224
0	0	1	0	911204	0	1	0.0723207	8.350194	1	1	2.813411	7.91528	1.075	5247	4231
0	0	0	1	911205	1	0	0.247139	8.656955	0	1	3.036554	9.220662	1.280357	1290	5750
0	0	0	0	911206	1	0	0.6643268	7.844241	0	1	3.036554	9.220662	1.943182	1717	2551
1	0	0	0	911209	0	0	-0.2065143	9.301277	0	0	2.762117	7.629292	0.8134146	11643	10977
0	1	0	0	911210	0	1	-0.1158318	8.920656	0	0	2.762117	7.629292	0.890625	9640	7485
0	0	1	0	911211	0	0	-0.2598674	9.105979	1	0	2.762117	7.629292	0.7711539	9347	9009
0	0	0	1	911212	0	1	-0.1171254	8.307706	0	0	2.762117	7.629292	0.8894737	3890	4055
0	0	0	0	911213	0	0	-0.3420761	9.20954	0	0	2.590267	6.709484	0.7102941	16318	9992
1	0	0	0	911216	1	0	-0.1255632	8.552561	0	1	3.149883	9.921763	0.882	8725	5180
0	1	0	0	911217	1	0	0.027399	8.523175	0	1	3.218876	10.36116	1.027778	2780	5030
0	0	1	0	911218	1	0	-0.0712275	8.865453	0	1	3.184974	10.14406	0.93125	9078	6833
0	0	0	1	911219	1	0	0.1230601	9.186355	0	1	3.113515	9.693978	1.130952	5066	9763
0	0	0	0	911220	1	0	0.2130932	8.699348	0	1	3.149883	9.921763	1.2375	4796	5999
1	0	0	0	911223	0	1	-0.3172045	9.408863	0	1	2.953173	8.721229	0.7281818	13647	12196
0	1	0	0	911224	0	1	-0.1088388	8.150179	0	1	3.036554	9.220662	0.896875	1255	3464
0	0	0	1	911226	0	1	0.2231435	6.703188	0	1	2.953173	8.721229	1.25	1115	815
0	0	0	0	911227	0	0	0.2464593	8.798907	0	1	2.862201	8.192194	1.279487	6887	6627
1	0	0	0	911230	0	0	-0.075431	9.565214	1	1	2.70805	7.333536	0.9273437	15894	14260
0	1	0	0	911231	0	0	0.2055992	8.297792	1	1	2.862201	8.192194	1.228261	5850	4015
0	0	0	1	920102	0	0	0.2188098	8.320935	0	0	2.813411	7.91528	1.244595	409	4109
0	0	0	0	920103	0	0	0.307025	8.884887	0	0	2.456736	6.035551	1.359375	7222	7222
1	0	0	0	920106	1	0	0.399592	9.336444	0	0	3.314186	10.98383	1.491216	13036	11224
0	1	0	0	920107	1	0	0.4969802	8.122668	0	1	3.344039	11.1826	1.64375	1760	3370
0	0	1	0	920108	1	0	0.3968258	8.15191	0	1	3.036554	9.220662	1.487097	4824	3470
0	0	0	1	920109	0	1	0.2830518	9.51834	0	1	2.813411	7.91528	1.327174	16489	13607
0	0	0	0	920110	0	1	0.2263384	8.567886	1	0	2.650892	7.027227	1.254	4842	5260
1	0	0	0	920113	0	1	-0.0723207	9.386811	0	0	2.908721	8.460658	0.9302325	12732	11930
0	1	0	0	920114	0	1	-0.1545295	8.628735	0	0	2.813411	7.91528	0.8568182	7070	5590
0	0	1	0	920115	1	0	0.2363888	7.727535	1	1	2.995732	8.974412	1.266667	2873	2270
0	0	0	1	920116	1	0	0.1718503	8.453188	0	1	3.113515	9.693978	1.1875	1915	4690
